DataSet/Point,Fe,Ni,Total,X,Y,Z,Beam X,Beam Y,Comment,Distance (µ),Mean Z,Point#,Date
598 / 1 . ,102.2305,-0.006553,102.224,12543,27773,21,,,FND_10_profile (Line)  Pt 214,,26.57811,598,1/22/13 1:21
599 / 1 . ,101.3358,-0.009668,101.3262,12543,27788,21,,,FND_10_profile (Line)  Pt 215,,26.34461,599,1/22/13 1:22
600 / 1 . ,102.1615,-0.016164,102.1453,12543,27803,21,,,FND_10_profile (Line)  Pt 216,,26.55747,600,1/22/13 1:24
601 / 1 . ,102.3431,-0.002404,102.3407,12543,27818,21,,,FND_10_profile (Line)  Pt 217,,26.60853,601,1/22/13 1:25
602 / 1 . ,102.3125,-0.017881,102.2946,12543,27833,21,,,FND_10_profile (Line)  Pt 218,,26.59624,602,1/22/13 1:26
603 / 1 . ,101.463,-0.021968,101.441,12543,27848,21,,,FND_10_profile (Line)  Pt 219,,26.37423,603,1/22/13 1:27
604 / 1 . ,102.0496,0.001381,102.051,12543,27863,21,,,FND_10_profile (Line)  Pt 220,,26.53329,604,1/22/13 1:29
605 / 1 . ,102.311,0.031029,102.342,12543,27878,21,,,FND_10_profile (Line)  Pt 221,,26.60954,605,1/22/13 1:30
606 / 1 . ,101.8207,0.011358,101.832,12543,27893,21,,,FND_10_profile (Line)  Pt 222,,26.47655,606,1/22/13 1:31
607 / 1 . ,102.1643,0.021417,102.1857,12543,27908,22,,,FND_10_profile (Line)  Pt 223,,26.56871,607,1/22/13 1:32
608 / 1 . ,101.8885,-0.01754,101.871,12543,27923,22,,,FND_10_profile (Line)  Pt 224,,26.48611,608,1/22/13 1:34
609 / 1 . ,102.0916,0.006897,102.0984,12543,27938,22,,,FND_10_profile (Line)  Pt 225,,26.54573,609,1/22/13 1:35
610 / 1 . ,101.8095,-0.01933,101.7902,12543,27953,22,,,FND_10_profile (Line)  Pt 226,,26.46505,610,1/22/13 1:36
611 / 1 . ,101.9436,0.003448,101.947,12543,27968,22,,,FND_10_profile (Line)  Pt 227,,26.50629,611,1/22/13 1:37
612 / 1 . ,101.9647,-0.007227,101.9574,12543,27983,22,,,FND_10_profile (Line)  Pt 228,,26.50879,612,1/22/13 1:39
613 / 1 . ,101.66,-0.034516,101.6255,12543,27998,22,,,FND_10_profile (Line)  Pt 229,,26.42193,613,1/22/13 1:40
614 / 1 . ,102.3547,0.002761,102.3574,12543,28013,22,,,FND_10_profile (Line)  Pt 230,,26.61298,614,1/22/13 1:41
615 / 1 . ,101.8586,-0.005163,101.8534,12543,28028,22,,,FND_10_profile (Line)  Pt 231,,26.48178,615,1/22/13 1:42
616 / 1 . ,101.6398,-0.003449,101.6363,12543,28043,22,,,FND_10_profile (Line)  Pt 232,,26.42537,616,1/22/13 1:44
617 / 1 . ,102.0636,-0.002412,102.0612,12543,28058,22,,,FND_10_profile (Line)  Pt 233,,26.53586,617,1/22/13 1:45
618 / 1 . ,102.0558,0.012758,102.0685,12543,28073,22,,,FND_10_profile (Line)  Pt 234,,26.53808,618,1/22/13 1:46
619 / 1 . ,101.8482,-0.033475,101.8147,12543,28088,23,,,FND_10_profile (Line)  Pt 235,,26.47116,619,1/22/13 1:47
620 / 1 . ,101.8546,-0.033073,101.8215,12543,28103,23,,,FND_10_profile (Line)  Pt 236,,26.47293,620,1/22/13 1:49
621 / 1 . ,102.1402,-0.011328,102.1289,12543,28118,23,,,FND_10_profile (Line)  Pt 237,,26.55328,621,1/22/13 1:50
622 / 1 . ,102.6107,-0.005527,102.6052,12543,28133,23,,,FND_10_profile (Line)  Pt 238,,26.67724,622,1/22/13 1:51
623 / 1 . ,102.4852,-0.035552,102.4497,12543,28148,23,,,FND_10_profile (Line)  Pt 239,,26.63621,623,1/22/13 1:53
624 / 1 . ,101.8449,-0.01342,101.8315,12543,28163,23,,,FND_10_profile (Line)  Pt 240,,26.47591,624,1/22/13 1:54
625 / 1 . ,101.3627,-0.037892,101.3248,12543,28178,23,,,FND_10_profile (Line)  Pt 241,,26.34368,625,1/22/13 1:55
626 / 1 . ,101.2865,0.00968,101.2962,12543,28193,23,,,FND_10_profile (Line)  Pt 242,,26.3372,626,1/22/13 1:56
627 / 1 . ,101.3671,-0.01341,101.3537,12543,28208,23,,,FND_10_profile (Line)  Pt 243,,26.35169,627,1/22/13 1:58
628 / 1 . ,101.5193,0.025583,101.5449,12543,28223,23,,,FND_10_profile (Line)  Pt 244,,26.40219,628,1/22/13 1:59
629 / 1 . ,101.8187,-0.03313,101.7855,12543,28238,23,,,FND_10_profile (Line)  Pt 245,,26.46357,629,1/22/13 2:00
630 / 1 . ,101.6187,0.006567,101.6253,12543,28253,24,,,FND_10_profile (Line)  Pt 246,,26.42271,630,1/22/13 2:01
631 / 1 . ,101.7738,0.023427,101.7972,12543,28268,24,,,FND_10_profile (Line)  Pt 247,,26.46774,631,1/22/13 2:03
632 / 1 . ,102.0421,0.00138,102.0435,12543,28283,24,,,FND_10_profile (Line)  Pt 248,,26.53134,632,1/22/13 2:04
633 / 1 . ,102.2995,-0.008943,102.2905,12543,28298,24,,,FND_10_profile (Line)  Pt 249,,26.59536,633,1/22/13 2:05
634 / 1 . ,102.2481,-0.048712,102.1994,12543,28313,24,,,FND_10_profile (Line)  Pt 250,,26.57088,634,1/22/13 2:06
635 / 1 . ,102.8496,0.000343,102.8499,12543,28328,24,,,FND_10_profile (Line)  Pt 251,,26.74098,635,1/22/13 2:08
636 / 1 . ,102.6622,-0.01,102.6522,12543,28343,24,,,FND_10_profile (Line)  Pt 252,,26.68937,636,1/22/13 2:09
637 / 1 . ,102.4833,0.027316,102.5106,12543,28358,24,,,FND_10_profile (Line)  Pt 253,,26.65331,637,1/22/13 2:10
638 / 1 . ,102.3991,-0.023759,102.3754,12543,28373,24,,,FND_10_profile (Line)  Pt 254,,26.61712,638,1/22/13 2:11
639 / 1 . ,101.9007,0.005526,101.9062,12543,28388,24,,,FND_10_profile (Line)  Pt 255,,26.49572,639,1/22/13 2:13
640 / 1 . ,102.4506,-0.020981,102.4297,12543,28403,24,,,FND_10_profile (Line)  Pt 256,,26.63129,640,1/22/13 2:14
641 / 1 . ,102.2289,-0.024547,102.2044,12543,28418,25,,,FND_10_profile (Line)  Pt 257,,26.57264,641,1/22/13 2:15
642 / 1 . ,101.8299,0.005168,101.835,12543,28433,25,,,FND_10_profile (Line)  Pt 258,,26.47721,642,1/22/13 2:17
643 / 1 . ,101.3248,0.010344,101.3351,12543,28448,25,,,FND_10_profile (Line)  Pt 259,,26.34734,643,1/22/13 2:18
644 / 1 . ,101.5687,-0.044514,101.5242,12543,28463,25,,,FND_10_profile (Line)  Pt 260,,26.39541,644,1/22/13 2:19
645 / 1 . ,101.8202,-0.025868,101.7943,12543,28478,25,,,FND_10_profile (Line)  Pt 261,,26.466,645,1/22/13 2:20
646 / 1 . ,101.68,0.00345,101.6834,12543,28493,25,,,FND_10_profile (Line)  Pt 262,,26.43776,646,1/22/13 2:22
647 / 1 . ,101.9986,-0.000345,101.9983,12543,28508,25,,,FND_10_profile (Line)  Pt 263,,26.51955,647,1/22/13 2:23
648 / 1 . ,101.5493,-0.030577,101.5188,12543,28523,25,,,FND_10_profile (Line)  Pt 264,,26.39427,648,1/22/13 2:24
649 / 1 . ,101.3389,-0.029711,101.3091,12543,28538,25,,,FND_10_profile (Line)  Pt 265,,26.33978,649,1/22/13 2:25
650 / 1 . ,101.5455,-0.018655,101.5268,12543,28553,25,,,FND_10_profile (Line)  Pt 266,,26.3966,650,1/22/13 2:27
651 / 1 . ,102.2795,-0.027927,102.2515,12543,28568,25,,,FND_10_profile (Line)  Pt 267,,26.58484,651,1/22/13 2:28
652 / 1 . ,101.947,-0.000346,101.9466,12543,28583,25,,,FND_10_profile (Line)  Pt 268,,26.50612,652,1/22/13 2:29
653 / 1 . ,101.9488,0.00482,101.9536,12543,28598,26,,,FND_10_profile (Line)  Pt 269,,26.50803,653,1/22/13 2:30
654 / 1 . ,101.3327,-0.026969,101.3058,12543,28613,26,,,FND_10_profile (Line)  Pt 270,,26.33896,654,1/22/13 2:32
655 / 1 . ,101.3211,0.006558,101.3276,12543,28628,26,,,FND_10_profile (Line)  Pt 271,,26.34532,655,1/22/13 2:33
656 / 1 . ,101.3878,0.004146,101.392,12543,28643,26,,,FND_10_profile (Line)  Pt 272,,26.362,656,1/22/13 2:34
657 / 1 . ,101.5042,-0.013744,101.4904,12543,28658,26,,,FND_10_profile (Line)  Pt 273,,26.38723,657,1/22/13 2:35
