
Un  173 exp3_grain2_KF
ELEM:        S      Au      Cu      Fe   SUM  
  4119  33.997    .064  30.076  33.256  97.393
  4120  34.026    .050  30.137  33.049  97.261
  4121  33.962    .062  30.289  33.079  97.392
  4122  34.043    .073  30.250  33.038  97.404
  4123  34.029    .040  30.195  33.134  97.398
  4124  34.014    .028  30.272  33.015  97.329
  4125  33.925    .074  30.183  32.903  97.086
  4126  33.644    .002  30.062  32.491  96.200
  4127  34.023    .051  30.206  32.756  97.036
  4128  34.061    .064  30.255  32.657  97.037
  4129  33.810    .132  30.082  32.579  96.603
  4130  33.926    .073  30.128  32.684  96.812
  4131  34.076    .079  30.098  32.761  97.015
  4132  34.180    .016  30.130  32.716  97.042
  4133  34.072    .059  30.222  32.691  97.044
  4134  33.940    .071  30.164  32.750  96.924
  4135  33.683    .102  30.229  32.656  96.670
  4136  33.787    .063  30.260  32.918  97.028
  4137  33.457    .090  30.403  33.756  97.706
  4138  33.535    .033  30.234  33.904  97.707
  4139  33.472    .047  30.195  33.991  97.705
  4140  33.662    .010  30.326  33.901  97.900
  4141  33.551    .040  30.257  34.250  98.097
  4142  32.852    .085  30.281  33.573  96.791
  4143  33.718    .017  30.276  34.194  98.205
  4144  33.667    .065  30.255  34.267  98.254
  4145  33.630    .043  30.237  34.129  98.039
  4146  33.791    .052  30.171  34.136  98.150
  4147  33.604    .073  30.197  34.047  97.921


