0,153.09,155.59,7.4434,2.3365,78.111,40.911,162.16,167.74,-0.14706,-1.3899,175.86,170.79,18.972,16.94,4.0277,0,0.35735,0,-0.075731,-0.28067,-0.47284,-0.10774,0.24699,-0.48289,0,0,0,0,0,0,0.029691,-0.037611,0.029691,-0.037611,-0.0051818,-0.033107,-0.0051818,-0.033107
-0.44369,154.78,155.45,7.0929,2.0473,74.857,43.323,161.56,169.54,-0.075673,-1.2217,175.76,171,18.634,16.772,6.0485,242.5,-1.4931,-222.05,-0.061758,-0.28111,-0.47321,-0.10863,0.2447,-0.48187,1.6767,-0.052972,-0.044299,-0.1067,-0.27378,0.1229,0.034306,-0.039282,0.034306,-0.039282,0.004082,-0.044438,0.004082,-0.044438
-0.43174,156.38,155.2,6.7539,1.7639,71.508,45.603,160.97,171.31,-0.014682,-1.0574,175.64,171.19,18.308,16.605,7.969,230.46,-3.2724,-213.52,-0.04795,-0.2815,-0.47361,-0.10926,0.24252,-0.48088,1.657,-0.046485,-0.048425,-0.07515,-0.2627,0.11872,0.038857,-0.04079,0.038857,-0.04079,0.013238,-0.055223,0.013238,-0.055223
-0.40918,157.79,154.81,6.4391,1.4948,68.188,47.715,160.4,172.99,0.03032,-0.90016,175.5,171.37,18.003,16.448,9.7266,210.91,-4.9251,-198.32,-0.034506,-0.28179,-0.47401,-0.10948,0.24051,-0.47993,1.6133,-0.034895,-0.048447,-0.02678,-0.24106,0.11382,0.043285,-0.042041,0.043285,-0.042041,0.02214,-0.065054,0.02214,-0.065054
-0.37646,158.93,154.23,6.1587,1.2477,65.03,49.642,159.86,174.54,0.055086,-0.75247,175.33,171.53,17.73,16.311,11.274,185.72,-6.4063,-177.75,-0.021594,-0.28195,-0.47437,-0.10918,0.23876,-0.47901,1.5495,-0.019062,-0.043453,0.035974,-0.20947,0.10957,0.047537,-0.042952,0.047537,-0.042952,0.030679,-0.073583,0.030679,-0.073583
-0.33494,159.75,153.45,5.9201,1.0289,62.16,51.39,159.36,175.93,0.057198,-0.61625,175.12,171.66,17.494,16.205,12.582,156.95,-7.6843,-153.36,-0.0093424,-0.28195,-0.47465,-0.10826,0.23735,-0.47812,1.4701,-0.00018507,-0.032536,0.11028,-0.16894,0.10745,0.051567,-0.04345,0.051567,-0.04345,0.038783,-0.08054,0.038783,-0.08054
-0.28699,160.22,152.45,5.7272,0.84307,59.688,52.972,158.91,177.16,0.036309,-0.49264,174.89,171.78,17.302,16.138,13.637,126.55,-8.7406,-126.76,0.002165,-0.28178,-0.47477,-0.10665,0.23635,-0.47721,1.3809,0.020354,-0.014817,0.1935,-0.12086,0.10889,0.055338,-0.043477,0.055338,-0.043477,0.046418,-0.085736,0.046418,-0.085736
-0.23553,160.32,151.23,5.581,0.69362,57.691,54.41,158.53,178.21,-0.0058093,-0.38201,174.63,171.88,17.157,16.12,14.438,96.154,-9.5688,-99.377,0.012892,-0.28144,-0.47468,-0.10429,0.23579,-0.47625,1.2873,0.041182,0.010557,0.28323,-0.066755,0.1151,0.058818,-0.042996,0.058818,-0.042996,0.053582,-0.089073,0.053582,-0.089073
-0.18356,160.06,149.81,5.4796,0.58273,56.212,55.73,158.22,179.1,-0.065404,-0.2839,174.34,171.97,17.062,16.161,14.997,67.057,-10.172,-72.434,0.022846,-0.28093,-0.47431,-0.10115,0.23572,-0.47519,1.1945,0.061107,0.0444,0.37697,-0.0082665,0.12709,0.061989,-0.041985,0.061989,-0.041985,0.060301,-0.090531,0.060301,-0.090531
-0.13368,159.47,148.22,5.4191,0.51151,55.255,56.955,157.98,179.85,-0.137,-0.19698,174.04,172.04,17.018,16.269,15.332,40.218,-10.563,-46.883,0.03207,-0.28027,-0.47358,-0.097216,0.23616,-0.47398,1.1069,0.079246,0.08747,0.47195,0.052972,0.14553,0.064839,-0.040443,0.064839,-0.040443,0.066622,-0.090165,0.066622,-0.090165
-0.08796,158.61,146.5,5.394,0.48022,54.79,58.107,157.83,179.53,-0.21378,-0.11908,173.73,172.12,17.024,16.452,15.468,16.308,-10.758,-23.443,0.040638,-0.27948,-0.47241,-0.092507,0.23712,-0.47256,1.0281,0.095064,0.14043,0.56504,0.11534,0.17077,0.067375,-0.038388,0.067375,-0.038388,0.072605,-0.088096,0.072605,-0.088096
-0.04784,157.52,144.71,5.3982,0.48844,54.761,59.207,157.76,179.01,-0.28797,-0.047205,173.42,172.2,17.082,16.718,15.433,-4.2349,-10.78,-2.6294,0.048645,-0.27857,-0.47071,-0.087067,0.2386,-0.47087,0.96094,0.10836,0.20377,0.65287,0.17722,0.20283,0.069618,-0.035854,0.069618,-0.035854,0.078322,-0.084496,0.078322,-0.084496
-0.014175,156.28,142.89,5.4256,0.53525,55.092,60.268,157.74,178.58,-0.35135,0.022384,173.13,172.29,17.192,17.072,15.256,-21.159,-10.654,15.219,0.056203,-0.27758,-0.4684,-0.080966,0.24058,-0.46886,0.9069,0.1192,0.27772,0.73214,0.23706,0.24137,0.0716,-0.032891,0.0716,-0.032891,0.083845,-0.079582,0.083845,-0.079582
0.012727,154.95,141.11,5.4704,0.61931,55.703,61.301,157.77,178.2,-0.39568,0.093953,172.87,172.42,17.352,17.517,14.97,-34.366,-10.404,29.921,0.063424,-0.27651,-0.46538,-0.0743,0.24302,-0.46648,0.86651,0.12781,0.36214,0.7999,0.29334,0.28569,0.073369,-0.029556,0.073369,-0.029556,0.089248,-0.073598,0.089248,-0.073598
0.033022,153.6,139.43,5.5282,0.73899,56.51,62.313,157.8,177.85,-0.41316,0.172,172.65,172.58,17.564,18.054,14.604,-43.888,-10.059,41.43,0.070417,-0.27539,-0.46158,-0.067183,0.24589,-0.46369,0.83921,0.13453,0.45641,0.85403,0.34462,0.33476,0.074975,-0.025913,0.074975,-0.025913,0.094594,-0.066806,0.094594,-0.066806
0.047237,152.3,137.91,5.5959,0.89233,57.434,63.303,157.83,177.5,-0.39694,0.26089,172.49,172.8,17.829,18.68,14.189,-49.882,-9.6439,49.8,0.077281,-0.27423,-0.45692,-0.059736,0.24914,-0.46046,0.8236,0.1397,0.55936,0.89361,0.3896,0.38722,0.076473,-0.022024,0.076473,-0.022024,0.099937,-0.059464,0.099937,-0.059464
0.056164,151.11,136.6,5.672,1.0769,58.407,64.262,157.8,177.11,-0.34157,0.36439,172.41,173.06,18.146,19.391,13.75,-52.616,-9.1844,55.146,0.084095,-0.27303,-0.45134,-0.052077,0.2527,-0.45678,0.81776,0.14366,0.66923,0.91903,0.42714,0.44147,0.077916,-0.017943,0.077916,-0.017943,0.10532,-0.051818,0.10532,-0.051818
0.060752,150.11,135.55,5.7562,1.2893,59.367,65.173,157.68,176.66,-0.2434,0.48525,172.42,173.39,18.518,20.175,13.313,-52.467,-8.7044,57.595,0.090925,-0.27181,-0.44481,-0.044312,0.2565,-0.45265,0.81959,0.14668,0.78363,0.93181,0.4563,0.49571,0.079359,-0.013714,0.079359,-0.013714,0.11076,-0.044084,0.11076,-0.044084
0.062022,149.35,134.82,5.8497,1.525,60.263,66.009,157.44,176.11,-0.10106,0.62476,172.52,173.78,18.943,21.02,12.897,-49.912,-8.2273,57.252,0.097818,-0.27057,-0.43731,-0.036527,0.26047,-0.44808,0.82713,0.14894,0.89962,0.93426,0.47637,0.54796,0.08086,-0.0093736,0.08086,-0.0093736,0.11628,-0.036441,0.11628,-0.036441
0.061004,148.89,134.43,5.9541,1.7775,61.05,66.73,157.02,175.43,0.08426,0.78242,172.73,174.22,19.421,21.909,12.518,-45.513,-7.7757,54.198,0.10481,-0.26931,-0.42887,-0.028786,0.26453,-0.44311,0.8387,0.15059,1.0138,0.92887,0.48696,0.5962,0.082478,-0.004947,0.082478,-0.004947,0.12187,-0.029027,0.12187,-0.029027
0.058684,148.78,134.42,6.071,2.0383,61.688,67.288,156.37,174.61,0.30848,0.95557,173.04,174.7,19.949,22.823,12.185,-39.884,-7.3713,48.528,0.11191,-0.26805,-0.41951,-0.021138,0.2686,-0.43779,0.85271,0.15164,1.1223,0.91781,0.48804,0.63841,0.084278,-0.00045667,0.084278,-0.00045667,0.12753,-0.021935,0.12753,-0.021935
0.055963,149.08,134.81,6.2013,2.297,62.14,67.621,155.45,173.64,0.56456,1.1393,173.45,175.21,20.524,23.743,11.905,-33.643,-7.0343,40.438,0.11914,-0.26678,-0.40934,-0.013616,0.2726,-0.43219,0.86736,0.15203,1.2213,0.90255,0.47998,0.67275,0.086323,0.0040766,0.086323,0.0040766,0.13323,-0.015224,0.13323,-0.015224
0.05362,149.82,135.62,6.3445,2.5418,62.37,67.66,154.19,172.51,0.84243,1.3263,173.94,175.73,21.139,24.647,11.677,-27.349,-6.7819,30.287,0.12648,-0.26552,-0.39844,-0.0062513,0.27646,-0.42637,0.88027,0.1516,1.3073,0.88383,0.46349,0.69768,0.088668,0.0086291,0.088668,0.0086291,0.13894,-0.0089166,0.13894,-0.0089166
0.05229,151.02,136.85,6.498,2.7602,62.34,67.326,152.58,171.24,1.1293,1.5072,174.5,176.23,21.786,25.517,11.498,-21.436,-6.6268,18.614,0.13388,-0.26427,-0.38697,0.00092993,0.28012,-0.42044,0.88833,0.15012,1.3767,0.86175,0.43961,0.71199,0.091351,0.013172,0.091351,0.013172,0.14461,-0.0030185,0.14461,-0.0030185
0.052465,152.71,138.52,6.6569,2.9401,62.013,66.534,150.59,169.85,1.4102,1.6706,175.09,176.69,22.458,26.335,11.364,-16.187,-6.576,6.0953,0.14128,-0.26304,-0.37508,0.007896,0.28353,-0.41448,0.8878,0.14731,1.4269,0.83592,0.40962,0.71494,0.094383,0.017667,0.094383,0.017667,0.15017,0.0024795,0.15017,0.0024795
0.054491,154.89,140.61,6.8143,3.0707,61.349,65.197,148.23,168.37,1.6686,1.8041,175.69,177.09,23.143,27.087,11.266,-11.742,-6.6303,-6.5118,0.14857,-0.26185,-0.36295,0.014609,0.28666,-0.4086,0.87468,0.14289,1.4557,0.80563,0.37498,0.70621,0.097744,0.022069,0.097744,0.022069,0.15553,0.0075906,0.15553,0.0075906
0.058569,157.52,143.11,6.9616,3.1433,60.314,63.229,145.55,166.84,1.8874,1.8946,176.27,177.4,23.832,27.76,11.198,-8.1174,-6.7839,-18.434,0.15561,-0.26071,-0.35076,0.021026,0.28947,-0.40288,0.84527,0.13664,1.462,0.77,0.33721,0.686,0.10138,0.026323,0.10138,0.026323,0.16059,0.012327,0.16059,0.012327
0.064733,160.59,145.99,7.089,3.1522,58.874,60.549,142.62,165.3,2.0507,1.9298,176.79,177.62,24.514,28.347,11.154,-5.2381,-7.0249,-28.928,0.16225,-0.25964,-0.33872,0.027095,0.29195,-0.39742,0.7968,0.12846,1.4455,0.72828,0.29777,0.65491,0.1052,0.030368,0.1052,0.030368,0.16525,0.016694,0.16525,0.016694
0.072846,164.02,149.22,7.187,3.0951,57.011,57.088,139.54,163.82,2.1444,1.899,177.23,177.71,25.18,28.844,11.13,-2.9593,-7.336,-37.329,0.16832,-0.25865,-0.327,0.032762,0.2941,-0.39231,0.72814,0.1184,1.4067,0.67997,0.25797,0.61395,0.1091,0.034134,0.1091,0.034134,0.16937,0.020694,0.16937,0.020694
0.082599,167.74,152.72,7.2467,2.974,54.716,52.798,136.4,162.43,2.1578,1.7949,177.57,177.69,25.82,29.25,11.121,-1.093,-7.6953,-43.11,0.17366,-0.25777,-0.31577,0.037971,0.29593,-0.3876,0.64041,0.10669,1.3469,0.6251,0.21892,0.5644,0.11294,0.037552,0.11294,0.037552,0.17288,0.02432,0.17288,0.02432
0.09353,171.65,156.44,7.2615,2.7947,52,47.661,133.32,161.2,2.0848,1.6147,177.8,177.55,26.426,29.568,11.125,0.5608,-8.078,-45.933,0.17813,-0.25698,-0.30521,0.042674,0.29744,-0.38337,0.53721,0.093691,1.2674,0.56434,0.18152,0.50772,0.11658,0.040556,0.11658,0.040556,0.1757,0.027561,0.1757,0.027561
0.10504,175.66,160.27,7.2271,2.567,48.896,41.709,130.39,160.16,1.9245,1.3606,177.91,177.3,26.99,29.804,11.143,2.1814,-8.4588,-45.694,0.18167,-0.25632,-0.29546,0.046833,0.29866,-0.37966,0.42411,0.079869,1.17,0.49911,0.14648,0.44541,0.1199,0.043092,0.1199,0.043092,0.17779,0.030406,0.17779,0.030406
0.11641,179.66,164.13,7.1428,2.3039,45.455,35.04,127.69,159.34,1.6815,1.0401,177.9,176.96,27.507,29.964,11.176,3.9051,-8.8131,-42.517,0.18423,-0.25577,-0.28665,0.050429,0.29961,-0.3765,0.30774,0.065737,1.0566,0.4315,0.1143,0.379,0.12278,0.045125,0.12278,0.045125,0.17916,0.032845,0.17916,0.032845
0.12685,176.47,167.93,7.0112,2.0206,41.749,27.843,125.3,158.76,1.3658,0.66547,177.79,176.55,27.969,30.058,11.225,5.8224,-9.1191,-36.72,0.18585,-0.25534,-0.27891,0.053461,0.30032,-0.37392,0.19465,0.051852,0.92953,0.36393,0.085278,0.30993,0.12514,0.046639,0.12514,0.046639,0.17987,0.034873,0.17987,0.034873
0.13554,172.8,171.56,6.8376,1.7338,37.867,20.39,123.27,158.43,0.99129,0.25209,177.57,176.08,28.375,30.095,11.291,7.9901,-9.3587,-28.753,0.18661,-0.25502,-0.27231,0.055953,0.30082,-0.37192,0.090469,0.03879,0.79166,0.29896,0.059469,0.23957,0.12691,0.047643,0.12691,0.047643,0.17998,0.036494,0.17998,0.036494
0.14167,169.43,174.97,6.6301,1.4598,33.911,13.021,121.63,158.34,0.57497,-0.18283,177.29,175.59,28.718,30.083,11.378,10.448,-9.5181,-19.131,0.1866,-0.25479,-0.26693,0.057944,0.30112,-0.37051,-0.00036733,0.027096,0.64609,0.23895,0.036706,0.16915,0.12805,0.048163,0.12805,0.048163,0.17961,0.037715,0.17961,0.037715
0.14457,166.42,178.07,6.398,1.2134,29.99,6.0816,120.43,158.45,0.1351,-0.6221,176.95,175.09,28.997,30.031,11.488,13.227,-9.5882,-8.4048,0.18598,-0.25465,-0.26279,0.059494,0.30126,-0.36968,-0.074603,0.017231,0.49598,0.18596,0.016598,0.099783,0.12857,0.048244,0.12857,0.048244,0.17885,0.038552,0.17885,0.038552
0.14371,163.81,179.15,6.1515,1.007,26.213,0.13636,119.67,158.75,-0.31022,-1.0499,176.57,174.62,29.207,29.945,11.625,16.353,-9.5644,2.8548,0.1849,-0.25457,-0.25993,0.060673,0.30125,-0.36941,-0.13007,0.0095386,0.34421,0.1415,-0.0014273,0.032404,0.12847,0.047941,0.12847,0.047941,0.17783,0.039021,0.17783,0.039021
0.13881,161.65,176.73,5.9003,0.84919,22.68,5.4339,119.36,159.2,-0.74432,-1.4528,176.2,174.17,29.346,29.83,11.79,19.84,-9.4473,14.057,0.18352,-0.25453,-0.25832,0.06156,0.3011,-0.36968,-0.16565,0.0042212,0.19324,0.10646,-0.01808,-0.032235,0.1278,0.047312,0.1278,0.047312,0.17668,0.039144,0.17668,0.039144
0.12988,159.94,174.67,5.6524,0.74436,19.474,9.7152,119.5,159.76,-1.1529,-1.8202,175.83,173.78,29.411,29.688,11.987,23.688,-9.2424,24.588,0.18201,-0.25452,-0.25794,0.062235,0.30081,-0.37046,-0.18131,0.001343,0.045069,0.081003,-0.034147,-0.093592,0.1266,0.046417,0.1266,0.046417,0.1755,0.038943,0.1755,0.038943
0.11726,158.68,172.96,5.414,0.69249,16.653,12.969,120.09,160.4,-1.5249,-2.1447,175.5,173.45,29.398,29.52,12.22,27.878,-8.9606,33.816,0.18052,-0.25451,-0.25876,0.062773,0.30039,-0.37172,-0.17808,0.0008383,-0.098704,0.064604,-0.050425,-0.15133,0.12496,0.045306,0.12496,0.045306,0.1744,0.03844,0.1744,0.03844
