Line,Mo,S,Fe,Total,,,,,C:\UserData\Test and Training\MoS_Training.MDB,,,,,,
 361 G,97.713,0.043,0.065,97.82,0.011797,0.05,0.030190476,0.035595
 362 G,97.404,0.042,0.058,97.504,0.011797,0.05,0.030190476,0.035595
 363 G,96.61,0.031,0.019,96.66,0.011797,0.05,0.030190476,0.035595
 364 G,96.893,0.042,0.063,96.998,0.011797,0.05,0.030190476,0.035595
 365 G,98.158,0.037,0.023,98.218,0.011797,0.05,0.030190476,0.035595
 366 G,97.357,0.058,0.014,97.429,0.011797,0.05,0.030190476,0.035595
 367 G,97.82,0.047,0.056,97.923,0.011797,0.05,0.030190476,0.035595
 368 G,92.416,0.02,0.082,92.518,0.011797,0.05,0.030190476,0.035595
 369 G,97.091,0.046,0.066,97.203,0.011797,0.05,0.030190476,0.035595
 370 G,97.785,0.077,0.053,97.915,0.011797,0.05,0.030190476,0.035595
 371 G,97.045,0.076,0,97.122,0.011797,0.05,0.030190476,0.035595
 372 G,98.121,0.027,0,98.148,0.011797,0.05,0.030190476,0.035595
 373 G,97.541,0.02,0.003,97.563,0.011797,0.05,0.030190476,0.035595
 374 G,97.061,0.04,0.023,97.124,0.011797,0.05,0.030190476,0.035595
 375 G,95.946,0.054,0.019,96.019,0.011797,0.05,0.030190476,0.035595
 376 G,94.13,0.044,0.007,94.181,0.011797,0.05,0.030190476,0.035595
 377 G,97.273,0.03,0,97.302,0.011797,0.05,0.030190476,0.035595
 378 G,96.408,0.057,0.051,96.516,0.011797,0.05,0.030190476,0.035595
 379 G,97.467,0.083,0.056,97.606,0.011797,0.05,0.030190476,0.035595
 380 G,96.882,0.04,0.068,96.99,0.011797,0.05,0.030190476,0.035595
 381 G,96.864,0.054,0.009,96.926,0.011797,0.05,0.030190476,0.035595
 382 G,97.564,0.031,0.015,97.609,0.011797,0.05,0.030190476,0.035595238
 383 G,100.573,0,0.039,100.612,0.011797,0.05,,
 384 G,100.666,0.002,0,100.668,0.011797,0.05,,
 385 G,101.647,0,0,101.647,0.011797,0.05,,
 386 G,101.088,0,0.015,101.103,0.011797,0.05,,
 387 G,101.755,0,0.029,101.783,0.011797,0.05,,
 388 G,101.111,0,0,101.111,0.011797,0.05,,
 389 G,101.82,0,0.087,101.907,0.011797,0.05,,
 390 G,101.223,0,0.04,101.263,0.011797,0.05,,
 391 G,101.638,0,0,101.638,0.011797,0.05,,
 392 G,101.09,0,0.021,101.112,0.011797,0.05,,
 393 G,100.832,0,0,100.832,0.011797,0.05,,
 394 G,101.581,0,0.02,101.601,0.011797,0.05
 395 G,101.267,0,0.062,101.33,0.011797,0.05
 396 G,101.131,0,0.052,101.182,0.011797,0.05
 397 G,101.048,0,0.029,101.076,0.011797,0.05
 398 G,101.261,0,0.032,101.293,0.011797,0.05
 399 G,101.592,0,0.014,101.607,0.011797,0.05
 400 G,101.218,0,0,101.218,0.011797,0.05
 401 G,101.011,0,0.066,101.077,0.011797,0.05
 402 G,100.727,0,0,100.727,0.011797,0.05
 403 G,101.353,0,0.017,101.37,0.011797,0.05
 404 G,101.032,0,0,101.032,0.011797,0.05
 405 G,101.498,0,0.038,101.535,0.011797,0.05
 406 G,101.003,0,0.003,101.006,0.011797,0.05
 407 G,101.663,0,0.021,101.684,0.011797,0.05
 408 G,101.272,0,0.01,101.282,0.011797,0.05
 409 G,101.278,0,0.04,101.318,0.011797,0.05
 410 G,101.393,0,0.016,101.409,0.011797,0.05
 411 G,101.332,0,0.06,101.392,0.011797,0.05
 412 G,100.989,0,0.008,100.997,0.011797,0.05
 413 G,101.053,0,0,101.053,0.011797,0.05
 414 G,101.374,0,0,101.374,0.011797,0.05
 415 G,101.085,0,0.035,101.121,0.011797,0.05
 416 G,101.666,0,0,101.666,0.011797,0.05
 417 G,100.748,0,0.008,100.757,0.011797,0.05
 418 G,100.607,0,0.036,100.642,0.011797,0.05
 419 G,101.507,0,0.031,101.537,0.011797,0.05
 420 G,100.782,0,0.021,100.803,0.011797,0.05
 421 G,100.773,0,0.034,100.807,0.011797,0.05
 422 G,101.108,0,0.016,101.124,0.011797,0.05
 423 G,101.875,0,0.009,101.884,0.011797,0.05
 424 G,100.836,0,0,100.836,0.011797,0.05
 425 G,101.036,0,0.046,101.082,0.011797,0.05
 426 G,100.887,0,0,100.887,0.011797,0.05
 427 G,101.883,0,0,101.883,0.011797,0.05
 428 G,101.256,0,0.029,101.285,0.011797,0.05
 429 G,101.05,0,0,101.05,0.011797,0.05
 430 G,101.517,0,0.035,101.552,0.011797,0.05
 431 G,101.492,0,0,101.492,0.011797,0.05
 432 G,101.992,0,0.005,101.997,0.011797,0.05
 433 G,101.206,0,0.007,101.213,0.011797,0.05
 434 G,101.028,0,0,101.028,0.011797,0.05
 435 G,101.483,0,0,101.483,0.011797,0.05
 436 G,101.148,0,0,101.148,0.011797,0.05
 437 G,101.432,0,0.01,101.442,0.011797,0.05
 438 G,100.45,0,0,100.45,0.011797,0.05
 439 G,101.626,0,0,101.626,0.011797,0.05
 440 G,101.504,0,0.022,101.526,0.011797,0.05
 441 G,101.461,0,0,101.461,0.011797,0.05
 442 G,101.38,0,0.024,101.404,0.011797,0.05
 443 G,101.74,0,0.007,101.748,0.011797,0.05
 444 G,101.139,0,0.01,101.149,0.011797,0.05
 445 G,100.872,0,0,100.872,0.011797,0.05
 446 G,100.975,0,0.011,100.986,0.011797,0.05
 447 G,100.73,0,0,100.73,0.011797,0.05
 448 G,102.135,0,0,102.135,0.011797,0.05
 449 G,101.062,0,0.011,101.073,0.011797,0.05
 450 G,101.51,0,0.018,101.528,0.011797,0.05
 451 G,101.085,0,0.018,101.103,0.011797,0.05
 452 G,101.255,0,0.047,101.302,0.011797,0.05
 453 G,101.28,0,0.029,101.309,0.011797,0.05
 454 G,101.213,0,0.021,101.234,0.011797,0.05
 455 G,101.206,0,0.03,101.236,0.011797,0.05
 456 G,101.142,0,0.01,101.151,0.011797,0.05
 457 G,101.292,0,0.025,101.316,0.011797,0.05
 458 G,100.925,0,0.064,100.99,0.011797,0.05
 459 G,100.811,0,0.011,100.822,0.011797,0.05
 460 G,100.889,0,0.047,100.936,0.011797,0.05
 461 G,101.177,0,0,101.177,0.011797,0.05
 462 G,101.671,0,0.068,101.739,0.011797,0.05
 463 G,101.672,0,0.034,101.705,0.011797,0.05
 464 G,101.072,0,0,101.072,0.011797,0.05
 465 G,101.204,0,0.017,101.221,0.011797,0.05
 466 G,100.78,0,0.03,100.81,0.011797,0.05
 467 G,101.823,0,0.032,101.855,0.011797,0.05
 468 G,99.844,0,0.006,99.851,0.011797,0.05
 469 G,100.695,0,0,100.695,0.011797,0.05
 470 G,100.933,0,0.038,100.971,0.011797,0.05
 471 G,98.109,0,0.017,98.126,0.011797,0.05
 472 G,100.939,0,0.039,100.978,0.011797,0.05
 473 G,100.55,0,0.064,100.614,0.011797,0.05
 474 G,101.039,0,0.052,101.09,0.011797,0.05
 475 G,100.724,0,0,100.724,0.011797,0.05
 476 G,100.143,0,0,100.143,0.011797,0.05
 477 G,101.325,0,0,101.325,0.011797,0.05
 478 G,101.327,0,0.017,101.344,0.011797,0.05
 479 G,100.429,0,0.001,100.43,0.011797,0.05
 480 G,101.077,0,0.065,101.142,0.011797,0.05
 481 G,101.885,0,0.01,101.895,0.011797,0.05
 482 G,101.196,0,0.019,101.214,0.011797,0.05
 483 G,101.853,0,0.001,101.854,0.011797,0.05
 484 G,101.219,0,0,101.219,0.011797,0.05
 485 G,100.375,0,0,100.375,0.011797,0.05
 486 G,101.293,0,0.035,101.327,0.011797,0.05
 487 G,101.522,0,0.019,101.541,0.011797,0.05
 488 G,101.303,0,0.021,101.324,0.011797,0.05
 489 G,101.369,0,0.041,101.41,0.011797,0.05
 490 G,101.07,0,0.011,101.081,0.011797,0.05
 491 G,100.519,0,0,100.519,0.011797,0.05
 492 G,100.619,0,0.01,100.629,0.011797,0.05
 493 G,101.138,0,0,101.138,0.011797,0.05
 494 G,101.411,0,0,101.411,0.011797,0.05
 495 G,101.119,0,0.016,101.135,0.011797,0.05
 496 G,101.401,0,0,101.401,0.011797,0.05
 497 G,101.438,0,0.021,101.459,0.011797,0.05
 498 G,101.049,0,0,101.049,0.011797,0.05
 499 G,101.037,0,0.002,101.039,0.011797,0.05
 500 G,100.786,0,0.014,100.8,0.011797,0.05
 501 G,100.727,0,0,100.727,0.011797,0.05
 502 G,101.062,0,0,101.062,0.011797,0.05
 503 G,101.188,0,0,101.188,0.011797,0.05
 504 G,101.318,0,0.005,101.324,0.011797,0.05
 505 G,101.728,0,0,101.728,0.011797,0.05
 506 G,101.215,0,0.041,101.257,0.011797,0.05
 507 G,100.94,0,0.021,100.961,0.011797,0.05
 508 G,101.089,0,0.006,101.095,0.011797,0.05
 509 G,100.925,0,0,100.925,0.011797,0.05
 510 G,101.098,0,0.005,101.102,0.011797,0.05
 511 G,101.114,0,0.02,101.134,0.011797,0.05
 512 G,101.526,0,0,101.526,0.011797,0.05
 513 G,101.086,0,0.013,101.1,0.011797,0.05
 514 G,100.75,0,0.004,100.754,0.011797,0.05
 515 G,101.241,0,0,101.241,0.011797,0.05
 516 G,100.929,0,0.003,100.932,0.011797,0.05
 517 G,100.969,0,0.015,100.984,0.011797,0.05
 518 G,101.743,0,0,101.743,0.011797,0.05
 519 G,101.013,0,0.022,101.035,0.011797,0.05
 520 G,101.019,0,0.005,101.024,0.011797,0.05
 521 G,100.784,0,0.004,100.788,0.011797,0.05
 522 G,100.76,0,0.029,100.789,0.011797,0.05
 523 G,101.092,0,0.016,101.108,0.011797,0.05
 524 G,100.767,0,0.043,100.809,0.011797,0.05
 525 G,100.899,0,0.015,100.914,0.011797,0.05
 526 G,100.957,0,0,100.957,0.011797,0.05
 527 G,100.848,0,0,100.848,0.011797,0.05
 528 G,100.7,0,0,100.7,0.011797,0.05
 529 G,101.231,0,0,101.231,0.011797,0.05
 530 G,101.224,0,0.021,101.245,0.011797,0.05
 531 G,100.98,0,0.021,101,0.011797,0.05
 532 G,99.903,0,0.068,99.971,0.011797,0.05
 533 G,101.037,0,0,101.037,0.011797,0.05
 534 G,100.807,0,0.05,100.856,0.011797,0.05
 535 G,101.005,0,0.022,101.027,0.011797,0.05
 536 G,100.351,0,0,100.351,0.011797,0.05
 537 G,100.86,0,0,100.86,0.011797,0.05
 538 G,100.661,0,0,100.661,0.011797,0.05
 539 G,101.157,0,0,101.157,0.011797,0.05
 540 G,101.067,0,0,101.067,0.011797,0.05
 541 G,100.62,0,0,100.62,0.011797,0.05
 542 G,100.975,0,0.03,101.005,0.011797,0.05
 543 G,100.953,0,0,100.953,0.011797,0.05
 544 G,101.146,0,0,101.146,0.011797,0.05
 545 G,101.011,0,0.004,101.015,0.011797,0.05
 546 G,101.154,0,0.009,101.163,0.011797,0.05
 547 G,101.26,0,0,101.26,0.011797,0.05
 548 G,100.629,0,0,100.629,0.011797,0.05
 549 G,101.096,0,0.016,101.113,0.011797,0.05
 550 G,100.718,0,0,100.718,0.011797,0.05
 551 G,101.337,0,0,101.337,0.011797,0.05
 552 G,101.18,0,0.03,101.21,0.011797,0.05
 553 G,100.842,0,0.004,100.846,0.011797,0.05
 554 G,100.72,0,0,100.72,0.011797,0.05
 555 G,101.249,0,0.002,101.251,0.011797,0.05
 556 G,101.84,0,0.003,101.844,0.011797,0.05
 557 G,100.791,0,0,100.791,0.011797,0.05
 558 G,100.961,0,0,100.961,0.011797,0.05
 559 G,100.942,0,0,100.942,0.011797,0.05
 560 G,101.023,0,0,101.023,0.011797,0.05
 561 G,100.674,0,0,100.674,0.011797,0.05
 562 G,100.977,0,0.01,100.987,0.011797,0.05
 563 G,101.007,0,0,101.007,0.011797,0.05
 564 G,101.303,0,0,101.303,0.011797,0.05
 565 G,101.215,0,0.028,101.242,0.011797,0.05
 566 G,100.848,0,0.025,100.873,0.011797,0.05
 567 G,101.079,0,0.036,101.115,0.011797,0.05
 568 G,101.042,0,0.012,101.053,0.011797,0.05
 569 G,100.851,0,0.001,100.852,0.011797,0.05
 570 G,101.185,0,0.029,101.214,0.011797,0.05
 571 G,101.236,0,0.037,101.273,0.011797,0.05
 572 G,101.036,0,0,101.036,0.011797,0.05
 573 G,101.317,0,0.003,101.32,0.011797,0.05
 574 G,101.239,0,0.013,101.252,0.011797,0.05
 575 G,100.858,0,0.044,100.902,0.011797,0.05
 576 G,101.044,0,0,101.044,0.011797,0.05
 577 G,101,0,0.004,101.004,0.011797,0.05
 578 G,100.407,0,0.028,100.435,0.011797,0.05
 579 G,100.854,0,0.005,100.859,0.011797,0.05
 580 G,100.673,0,0.015,100.688,0.011797,0.05
 581 G,101.02,0,0,101.02,0.011797,0.05
 582 G,101.283,0,0.009,101.292,0.011797,0.05
 583 G,100.754,0,0,100.754,0.011797,0.05
 584 G,100.637,0,0,100.637,0.011797,0.05
 585 G,100.707,0,0,100.707,0.011797,0.05
 586 G,100.889,0,0.005,100.894,0.011797,0.05
 587 G,100.804,0,0,100.804,0.011797,0.05
 588 G,101.413,0,0.01,101.422,0.011797,0.05
 589 G,101.075,0,0,101.075,0.011797,0.05
 590 G,100.783,0,0,100.783,0.011797,0.05
 591 G,100.827,0,0,100.827,0.011797,0.05
 592 G,101.088,0,0.011,101.1,0.011797,0.05
 593 G,100.612,0,0,100.612,0.011797,0.05
 594 G,100.37,0,0,100.37,0.011797,0.05
 595 G,100.804,0,0,100.804,0.011797,0.05
 596 G,100.383,0,0,100.383,0.011797,0.05
 597 G,100.366,0,0.021,100.387,0.011797,0.05
 598 G,100.986,0,0,100.986,0.011797,0.05
 599 G,100.758,0,0,100.758,0.011797,0.05
 600 G,100.819,0,0,100.819,0.011797,0.05
 601 G,100.839,0,0.021,100.86,0.011797,0.05
 602 G,101.212,0,0.029,101.24,0.011797,0.05
