Time ,Distance,,,,
0,0,0,0,0,0
100000,11.2352303047156,35.528917799449,112.352303047156,355.289177994489,3552.89177994489
200000,15.889015073314,50.2454774084196,158.89015073314,502.454774084196,5024.54774084196
300000,19.459989722505,61.5378907665838,194.59989722505,615.378907665838,6153.78907665838
400000,22.4704606094312,71.0578355988979,224.704606094312,710.578355988979,7105.78355988979
500000,25.1227387042098,79.4450753665701,251.227387042098,794.450753665701,7944.50753665701
600000,27.5205813892076,87.0277197219369,275.205813892076,870.277197219369,8702.77197219369
700000,29.7256253088139,94.0006808485981,297.256253088139,940.006808485981,9400.06808485981
800000,31.778030146628,100.490954816839,317.78030146628,1004.90954816839,10049.0954816839
900000,33.7056909141468,106.586753398347,337.056909141468,1065.86753398347,10658.6753398347
1000000,35.5289177994489,112.352303047156,355.289177994489,1123.52303047156,11235.2303047156
1100000,37.263043353972,117.836089548152,372.63043353972,1178.36089548152,11783.6089548152
1200000,38.91997944501,123.075781533168,389.1997944501,1230.75781533168,12307.5781533168
1300000,40.509198955299,128.101334887658,405.09198955299,1281.01334887658,12810.1334887658
1400000,42.0383824617456,132.937037728392,420.383824617456,1329.37037728392,13293.7037728392
1500000,43.5138598609684,137.602906946038,435.138598609684,1376.02906946038,13760.2906946038
1600000,44.9409212188624,142.115671197796,449.409212188624,1421.15671197796,14211.5671197796
1700000,46.324041274483,146.489480851015,463.24041274483,1464.89480851015,14648.9480851015
1800000,47.6670452199421,150.736432225259,476.67045219942,1507.36432225259,15073.6432225259
1900000,48.973233505661,154.866962261161,489.73233505661,1548.66962261161,15486.6962261161
2000000,50.2454774084196,158.89015073314,502.454774084196,1588.9015073314,15889.015073314
2100000,51.486293321621,162.813955175839,514.862933216211,1628.13955175839,16281.3955175839
2200000,52.6979012864839,166.645395976006,526.979012864839,1666.45395976006,16664.5395976006
2300000,53.8822716670335,170.390703971784,538.822716670335,1703.90703971784,17039.0703971784
2400000,55.0411627784152,174.055439443874,550.411627784152,1740.55439443874,17405.5439443874
2500000,56.176151523578,177.644588997245,561.76151523578,1776.44588997245,17764.4588997245
2600000,57.2886585634539,181.162645156224,572.886585634539,1811.62645156224,18116.2645156224
2700000,58.379969167515,184.613672299751,583.79969167515,1846.13672299751,18461.3672299751
2800000,59.4512506176279,188.001361697196,594.512506176279,1880.01361697196,18800.1361697196
2900000,60.5035668370056,191.329077769167,605.035668370056,1913.29077769167,19132.9077769167
3000000,61.5378907665838,194.59989722505,615.378907665838,1945.9989722505,19459.989722505
3100000,62.5551148987835,197.816642373689,625.551148987835,1978.16642373689,19781.6642373689
3200000,63.5560602932561,200.981909633678,635.560602932561,2009.81909633678,20098.1909633678
3300000,64.5414843337214,204.098094062634,645.414843337214,2040.98094062634,20409.8094062635
3400000,65.5120874343048,207.1674105645,655.120874343048,2071.674105645,20716.74105645
3500000,66.4685188641962,210.191912308728,664.685188641962,2101.91912308728,21019.1912308728
3600000,67.4113818282937,213.173506796694,674.113818282937,2131.73506796694,21317.3506796694
3700000,68.3412379167952,216.113969932534,683.412379167952,2161.13969932534,21611.3969932534
3800000,69.2586110169703,219.014958393257,692.586110169703,2190.14958393257,21901.4958393257
3900000,70.163990764494,221.87802054282,701.63990764494,2218.7802054282,22187.802054282
4000000,71.0578355988979,224.704606094312,710.578355988979,2247.04606094312,22470.4606094312
4100000,71.9405754772646,227.496074691411,719.405754772646,2274.96074691411,22749.6074691411
4200000,72.8126142917558,230.253703553276,728.126142917558,2302.53703553276,23025.3703553276
4300000,73.6743320295474,232.978694304866,736.743320295474,2329.78694304866,23297.8694304866
4400000,74.5260867079441,235.672179096303,745.260867079441,2356.72179096303,23567.2179096303
4500000,75.3682161126293,238.33522609971,753.682161126293,2383.3522609971,23833.522609971
4600000,76.2010393629903,240.968844459196,762.010393629903,2409.68844459196,24096.8844459196
4700000,77.0248583250888,243.573988759063,770.248583250888,2435.73988759063,24357.3988759063
4800000,77.83995889002,246.151563066335,778.3995889002,2461.51563066335,24615.1563066335
4900000,78.6466121330092,248.702424596143,786.466121330093,2487.02424596143,24870.2424596143
5000000,79.4450753665701,251.227387042098,794.450753665701,2512.27387042098,25122.7387042098
5100000,80.2355930993222,253.727223608347,802.355930993222,2537.27223608347,25372.7223608347
5200000,81.018397910598,256.202669775317,810.183979105981,2562.02669775317,25620.2669775317
5300000,81.7937112497043,258.654425827203,817.937112497043,2586.54425827203,25865.4425827203
5400000,82.5617441676228,261.083159165811,825.617441676228,2610.83159165811,26108.3159165811
5500000,83.3226979880032,263.489506432419,833.226979880032,2634.89506432419,26348.9506432419
5600000,84.0767649234912,265.874075456785,840.767649234912,2658.74075456785,26587.4075456785
5700000,84.8241286427394,268.237447050184,848.241286427394,2682.37447050184,26823.7447050184
5800000,85.5649647928403,270.580176657493,855.649647928403,2705.80176657493,27058.0176657493
5900000,86.2994414813908,272.902795881611,862.994414813908,2729.02795881611,27290.2795881611
6000000,87.0277197219369,275.205813892076,870.277197219369,2752.05813892076,27520.5813892076
6100000,87.7499538461417,277.48971872846,877.499538461417,2774.8971872846,27748.971872846
6200000,88.4662918856668,279.754978507979,884.662918856668,2797.54978507979,27975.4978507979
6300000,89.1768759264418,282.002042545794,891.768759264418,2820.02042545794,28200.2042545794
6400000,89.8818424377249,284.231342395592,898.818424377249,2842.31342395592,28423.1342395592
6500000,90.5813225781121,286.44329281727,905.813225781121,2864.4329281727,28644.329281727
6600000,91.2754424804394,288.638292677877,912.754424804394,2886.38292677877,28863.8292677877
6700000,91.9643235173293,290.816725791348,919.643235173293,2908.16725791348,29081.6725791348
6800000,92.6480825489659,292.978961702031,926.480825489659,2929.78961702031,29297.8961702031
6900000,93.326832154531,295.125356416557,933.26832154531,2951.25356416557,29512.5356416557
7000000,94.0006808485981,297.256253088139,940.006808485981,2972.56253088139,29725.6253088139
7100000,94.6697332836636,299.371982657028,946.697332836636,2993.71982657028,29937.1982657028
7200000,95.3340904398841,301.472864450517,953.340904398841,3014.72864450517,30147.2864450517
7300000,95.9938498029952,303.55920674557,959.938498029952,3035.5920674557,30355.920674557
7400000,96.6491055312981,305.63130729688,966.491055312981,3056.3130729688,30563.130729688
7500000,97.299948612525,307.689453832919,972.99948612525,3076.89453832919,30768.9453832919
7600000,97.9464670113221,309.733924522323,979.464670113221,3097.33924522323,30973.3924522323
7700000,98.5887458080282,311.764988412747,985.887458080282,3117.64988412747,31176.4988412747
