,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
FNDA-2,,,,,,,,dNi combines data from 61Ni/60Ni and 62Ni/60Ni,,,,,,,,,,,,,,,,,,
,,,,,,,,Mtarix-corrected and,,,,,Matrix-corrected ratios,,,,,Uncorrected data,,,,,,,,
"Data collected February, 2013",,,,,,,,Internally standardized ratios,,,,,No correction for instrumental fractionation,,,,,No matrix correction or correction for instrumental fractionation,,,,,,,,
Ni Profile #1,,,Distance,,,,,,,,,,,,,,,,,,,,,,,
Spot Number,Position X,Position Y,From Edge,Fe,Ni,,,dNi/60Ni ‰ / amu,2smean,,,,dNi/60Ni ‰ / amu,2smean,,,,dNi/60Ni ‰ / amu,2smean,,,,d61Ni,2smean,d62Ni,2smean
,,,0,,,,,,,,,,,,,,,,,,,,,,,
1,750,483,450,98.9,0.78,,,7.86, 15.92,,,,-6.38, 15.65,,,,-3.94, 15.64,,,,12.71, 139.85,-4.15, 15.74
2,670,483,530,98.61,0.99,,,4.74, 15.89,,,,-9.50, 15.62,,,,-7.07, 15.60,,,,-10.12, 138.56,-7.03, 15.70
3,590,483,610,97.68,1.6,,,2.60, 15.59,,,,-11.63, 15.31,,,,-9.22, 15.30,,,,-69.54, 131.87,-8.40, 15.40
4,510,483,690,96.45,3.055,,,-8.20, 13.40,,,,-22.43, 13.08,,,,-20.06, 13.06,,,,-24.60, 116.95,-20.00, 13.14
5,430,483,770,92.42,7.35,,,-8.57, 9.89,,,,-22.80, 9.45,,,,-20.52, 9.43,,,,-38.61, 83.82,-20.29, 9.49
6,350,483,850,82.94,16.55,,,-12.13, 6.53,,,,-26.36, 5.83,,,,-24.32, 5.81,,,,-6.44, 52.80,-24.54, 5.84
7,270,483,930,72.48,27.14,,,-7.59, 4.64,,,,-21.82, 3.60,,,,-20.04, 3.57,,,,-17.85, 32.18,-20.06, 3.59
8,190,483,1010,62.72,36.905,,,-3.95, 3.73,,,,-18.18, 2.32,,,,-16.64, 2.27,,,,-23.40, 20.32,-16.55, 2.29
