Term,AY,Semester,Crn1,Crn2,School,Course1,Course2,Level,Schedule,Enroll
201530,2014-15,Fall,32340,,BD,QBUS110,,Undergraduate,Lecture,26
201530,2014-15,Fall,32341,,BD,QBUS110,,Undergraduate,Lecture,26
201530,2014-15,Fall,32349,,BD,QBUS100,,Undergraduate,Lecture,18
201530,2014-15,Fall,32350,,BD,ACCT350,,Undergraduate,Lecture,19
201530,2014-15,Fall,32351,,BD,ACCT200,,Undergraduate,Lecture,10
201530,2014-15,Fall,32353,,BD,MRKT336,,Undergraduate,Lecture,24
201530,2014-15,Fall,32356,,AD,PSYC210,,Undergraduate,Lecture,24
201530,2014-15,Fall,32357,,AD,PSYC210,,Undergraduate,Lecture,25
201530,2014-15,Fall,32362,,BD,QBUS100,,Undergraduate,Lecture,24
201530,2014-15,Fall,32363,,BD,QBUS100,,Undergraduate,Lecture,24
201530,2014-15,Fall,32365,,AD,PSYC490,,Undergraduate,Seminar,12
201530,2014-15,Fall,32366,,BD,QBUS200,,Undergraduate,Lecture,31
201530,2014-15,Fall,32367,,BD,QBUS200,,Undergraduate,Lab,31
201530,2014-15,Fall,32368,,BD,QBUS200,,Undergraduate,Lecture,31
201530,2014-15,Fall,32369,,BD,QBUS200,,Undergraduate,Lab,31
201530,2014-15,Fall,32376,,BD,QBUS200,,Undergraduate,Lecture,33
201530,2014-15,Fall,32377,,BD,QBUS200,,Undergraduate,Lab,33
201530,2014-15,Fall,32378,,BD,QBUS200,,Undergraduate,Lecture,30
201530,2014-15,Fall,32379,,BD,QBUS200,,Undergraduate,Lab,30
201530,2014-15,Fall,32380,,BD,QBUS200,,Undergraduate,Lecture,29
201530,2014-15,Fall,32381,,BD,QBUS200,,Undergraduate,Lab,29
201530,2014-15,Fall,32384,,SD,CHEM225,,Undergraduate,Lecture,16
201530,2014-15,Fall,32386,,SD,CHEM225,,Undergraduate,Lab,15
201530,2014-15,Fall,32394,,SD,SCDV230,,Undergraduate,Lab,5
201530,2014-15,Fall,32395,,SD,SCDV210,,Undergraduate,Lab,16
201530,2014-15,Fall,32399,,AD,EDUC481,,Undergraduate,Practicum,2
201530,2014-15,Fall,32400,,SD,CSIS400,,Undergraduate,Lecture,11
201530,2014-15,Fall,32402,,SD,BIOL270,,Undergraduate,Lecture,15
201530,2014-15,Fall,32403,,SD,BIOL270,,Undergraduate,Lab,14
