Electron Microprobe Data,, 96 hours,1400 C,,,,,Isotope Data,,,,,,,
,Fe,Ni,Total,x,y,z,,,,,,,,,
FNDA_2_profile (Line)  Pt 1,,,,,,,,,,,,,,,
1.62,0.964954,98.61167,99.57662,13478,1503,-104, ,FNDA-2,Fe A %,Ni A %,del Fe  ä/amu,error,,del Ni ä/amu-2,error
0.72,9.387551,90.88499,100.2725,13478,603,-99, ,,0.5775,17.05,83.2,1.65606,-0.3234,,0.7563,56.41,43.55,-2.61822
0.705,9.82788,90.33221,100.1601,13478,588,-99, ,,0.6006,21.87,78.39,1.82674,-0.3003,,0.7865,53.3,46.67,-2.14853
0.69,10.26188,90.14777,100.4097,13478,573,-99, ,,0.6237,26.47,73.79,1.9208,-0.2772,,0.8167,50.45,49.52,-1.75351
0.675,10.57867,89.54698,100.1256,13478,558,-99, ,,0.6468,30.71,69.54,1.95421,-0.2541,,0.847,47.82,52.16,-1.41667
0.66,11.12519,88.87356,99.99875,13478,543,-99, ,,0.6699,34.57,65.66,1.94213,-0.231,,0.8773,45.37,54.61,-1.12612
0.645,11.41863,88.65553,100.0742,13478,528,-99, ,,0.693,38.07,62.14,1.89636,-0.2079,,0.9075,43.08,56.91,-0.87313
0.63,11.99611,88.1336,100.1297,13478,513,-99, ,,0.7161,41.25,58.95,1.82539,-0.1848,,0.9378,40.93,59.06,-0.65115
0.615,12.4231,87.75819,100.1813,13478,498,-99, ,,0.7392,44.15,56.02,1.7352,-0.1617,,0.968,38.89,61.1,-0.45517
0.6,12.84437,87.14127,99.98564,13478,483,-99, ,,0.7623,46.82,53.33,1.62995,-0.1386,,0.9983,36.96,63.04,-0.28132
0.585,13.34459,86.39439,99.73898,13478,468,-98, ,,0.7854,49.29,50.85,1.51251,-0.1155,,1.0285,35.12,64.88,-0.12657
0.57,13.86588,86.03815,99.90402,13478,453,-98, ,,0.8085,51.58,48.54,1.3849,-0.0924,,1.0588,33.36,66.64,0.0115
0.555,14.46893,85.7028,100.1717,13478,438,-98, ,,0.8316,53.73,46.37,1.24852,-0.0693,,1.089,31.67,68.33,0.13483
0.54,15.07714,84.93807,100.0152,13478,423,-98, ,,0.8547,55.75,44.34,1.10431,-0.0462,,1.1193,30.05,69.96,0.24499
0.525,15.2992,84.56556,99.86475,13478,408,-98, ,,0.8778,57.65,42.42,0.95293,-0.0231,,1.1495,28.48,71.52,0.34323
0.51,15.94662,84.31328,100.2599,13478,393,-98, ,,0.9009,59.45,40.6,0.79479,0,,1.1797,26.97,73.04,0.43061
0.495,16.49619,83.47779,99.97398,13478,378,-98, ,,0.924,61.17,38.87,0.63015,0.0231,,1.21,25.51,74.5,0.50798
0.48,17.06514,83.063,100.1281,13478,363,-98, ,,0.9471,62.81,37.22,0.45911,0.0462,,1.2402,24.1,75.91,0.57605
0.465,17.59102,82.53713,100.1282,13478,348,-98, ,,0.9702,64.38,35.63,0.28169,0.0693,,1.2705,22.73,77.29,0.6354
0.45,18.16389,82.12637,100.2903,13478,333,-98, ,,0.9933,65.89,34.11,0.09781,0.0924,,1.3008,21.4,78.62,0.68652
