#Fe weight%,Ni weight%,Total,X,Y,Z
101.0444,0.799956,101.8444,-12364,-399,-18
100.7727,0.824979,101.5976,-12364,-384,-18
101.0468,0.817495,101.8643,-12364,-369,-18
100.3476,0.817,101.1646,-12364,-354,-18
100.9804,0.497955,101.4784,-12364,-339,-18
101.0238,0.833663,101.8574,-12364,-324,-18
101.059,0.832493,101.8915,-12364,-309,-18
101.1969,0.812596,102.0095,-12364,-294,-18
101.0216,0.811587,101.8332,-12364,-279,-18
101.0387,0.838732,101.8774,-12364,-264,-17
100.806,0.832209,101.6382,-12364,-249,-17
101.2182,0.741773,101.96,-12364,-234,-17
100.7462,0.818527,101.5647,-12364,-219,-17
101.2058,0.776262,101.982,-12364,-204,-17
101.2638,0.799065,102.0629,-12364,-189,-17
100.6807,0.828967,101.5097,-12364,-174,-17
100.9958,0.845073,101.8409,-12364,-159,-17
100.9019,0.76602,101.6679,-12364,-144,-17
99.92634,0.801301,100.7276,-12364,-129,-17
101.0973,0.838341,101.9357,-12364,-114,-17
101.2203,0.819596,102.0399,-12364,-99,-17
100.7808,0.800856,101.5817,-12364,-84,-16
100.757,0.820284,101.5773,-12364,-69,-16
101.044,0.807444,101.8514,-12364,-54,-16
100.6076,0.868839,101.4764,-12364,-39,-16
101.0954,0.825888,101.9213,-12364,-24,-16
100.6971,0.812526,101.5097,-12364,-9,-16
100.8885,0.840309,101.7288,-12364,6,-16
101.0212,0.824809,101.846,-12364,21,-16
100.7909,0.828576,101.6195,-12364,36,-16
100.333,0.888078,101.221,-12364,51,-16
100.3434,0.870934,101.2144,-12364,66,-16
100.4037,0.861791,101.2655,-12364,81,-16
99.98389,0.890219,100.8741,-12364,96,-15
100.5841,0.885846,101.47,-12364,111,-15
99.27421,0.932019,100.2062,-12364,126,-15
100.3272,0.900729,101.228,-12364,141,-15
101.1848,0.926707,102.1115,-12364,156,-15
100.3097,0.900158,101.2099,-12364,171,-15
100.5527,0.924964,101.4776,-12364,186,-15
100.9712,0.911044,101.8822,-12364,201,-15
100.4958,0.95257,101.4483,-12364,216,-15
100.5331,0.957651,101.4908,-12364,231,-15
100.2271,0.95717,101.1843,-12364,246,-15
100.0668,0.95575,101.0226,-12364,261,-14
100.26,0.983735,101.2438,-12364,276,-14
100.373,0.940939,101.3139,-12364,291,-14
100.5769,0.948826,101.5257,-12364,306,-14
100.2899,0.966492,101.2564,-12364,321,-14
100.559,0.949416,101.5084,-12364,336,-14
99.94955,0.951273,100.9008,-12364,351,-14
100.4428,0.970625,101.4135,-12364,366,-14
100.6751,0.976997,101.6521,-12364,381,-14
100.6938,0.969009,101.6628,-12364,396,-14
100.4082,0.959355,101.3675,-12364,411,-14
100.696,0.980412,101.6764,-12364,426,-14
100.5669,0.921462,101.4883,-12364,441,-13
14.27017,0.080387,14.35056,-12364,456,-13
100.7676,0.899935,101.6675,-12364,471,-13
99.9832,0.918994,100.9022,-12364,486,-13
100.9651,0.966158,101.9312,-12364,501,-13
