Electron Microprobe Data,,,,,,Isotope Data,,,,,
No. ,   Fe    ,   Ni    ,  Total  ,x(mm),,Pos X,X',Fe wt%,del Fe ä/amu,del Fe +19.5,error
91,12.602,88.38,100.982,-0.53,,-1400,-1010,-35.2,2.8,,,-15.1,0.9
92,13.103,87.997,101.1,-0.52,,-1425,-1010,-36.8,2.0,,,-15.6,2.2
93,13.414,87.578,100.992,-0.51,,-1450,-1010,-35.0,4.5,,,-16.8,2.8
94,13.824,87.089,100.913,-0.5,,-1525,-1010,-35.3,13.9,,,-17.5,3.1
95,14.256,86.525,100.781,-0.49,,-1600,-1010,-34.9,9.7,,,-16.9,1.4
96,14.545,86.204,100.749,-0.48,,-1650,-1010,-43.5,12.4,,,-15.7,3.3
97,15.002,85.945,100.947,-0.47,,-1700,-1010,-41.2,4.7,,,-14.8,1.8
98,15.601,85.464,101.065,-0.46,,-1750,-1010,-38.6,2.2,,,-17.2,3.3
99,15.87,85.127,100.997,-0.45,,,,,,,,,
100,16.302,84.572,100.874,-0.44,,,,,,,,,
101,16.683,84.149,100.832,-0.43,,,,,,,,,
102,17.081,83.635,100.716,-0.42,,,,,,,,,
103,17.554,83.258,100.812,-0.41,,,,,,,,,
104,17.935,82.924,100.859,-0.4,,,,,,,,,
105,18.455,82.58,101.035,-0.39,,,,,,,,,
106,18.926,82.009,100.935,-0.38,,,,,,,,,
107,19.316,81.703,101.019,-0.37,,,,,,,,,
108,19.782,81.086,100.868,-0.36,,,,,,,,,
109,20.307,80.555,100.862,-0.35,,,,,,,,,
110,20.716,80.031,100.747,-0.34
111,21.12,79.555,100.675,-0.33
112,21.693,79.117,100.81,-0.32
113,22.068,78.614,100.682,-0.31
114,22.578,78.12,100.698,-0.3
115,22.915,77.777,100.692,-0.29
116,23.48,77.243,100.723,-0.28
117,24.048,76.773,100.821,-0.27
118,24.466,76.348,100.814,-0.26
119,25.11,75.632,100.742,-0.25
120,25.563,75.204,100.767,-0.24
121,26.123,74.798,100.921,-0.23
122,26.599,74.098,100.697,-0.22
123,26.982,73.578,100.56,-0.21
124,27.611,73.138,100.749,-0.2
125,28.189,72.627,100.816,-0.19
126,28.664,71.973,100.637,-0.18
127,29.228,71.423,100.651,-0.17
128,29.826,70.923,100.749,-0.16
129,30.331,70.262,100.593,-0.15
130,30.978,69.565,100.543,-0.14
131,31.689,69.12,100.809,-0.13
132,32.429,68.597,101.026,-0.12
133,32.882,67.862,100.744,-0.11
134,33.498,67.456,100.954,-0.1
135,34.15,66.678,100.828,-0.09
136,34.689,66.085,100.774,-0.08
137,35.263,65.242,100.505,-0.07
138,36.034,64.712,100.746,-0.06
139,36.711,63.915,100.626,-0.05
140,37.5,63.309,100.809,-0.04
141,38.184,62.648,100.832,-0.03
142,38.956,61.921,100.877,-0.02
143,39.705,61.198,100.903,-0.01
144,40.593,60.387,100.98,0
145,41.183,59.475,100.658,0.01
146,41.912,58.641,100.553,0.02
147,42.748,57.964,100.712,0.03
148,43.604,57.059,100.663,0.04
149,44.413,56.041,100.454,0.05
150,45.57,55.189,100.759,0.06
151,46.309,54.387,100.696,0.07
152,47.416,53.419,100.835,0.08
153,48.282,52.435,100.717,0.09
154,49.388,51.384,100.772,0.1
155,50.739,50.257,100.996,0.11
156,51.495,49.222,100.717,0.12
157,52.645,48.145,100.79,0.13
158,53.74,46.828,100.568,0.14
159,55.033,45.732,100.765,0.15
160,56.208,44.345,100.553,0.16
161,57.455,43.053,100.508,0.17
162,59.156,41.564,100.72,0.18
163,60.574,40.286,100.86,0.19
164,62.403,38.47,100.873,0.2
165,63.783,36.861,100.644,0.21
166,65.673,34.891,100.564,0.22
167,67.921,33.314,101.235,0.23
168,69.671,30.984,100.655,0.24
169,71.352,29.039,100.391,0.25
170,74.021,26.694,100.715,0.26
171,75.914,24.431,100.345,0.27
172,78.378,22.191,100.569,0.28
173,81.08,19.811,100.891,0.29
174,83.366,17.312,100.678,0.3
175,86.067,14.946,101.013,0.31
176,88.509,12.488,100.997,0.32
177,90.861,10.214,101.075,0.33
178,92.474,8.164,100.638,0.34
179,94.5,6.355,100.855,0.35
180,95.747,4.803,100.55,0.36
181,96.679,3.623,100.302,0.37
182,97.773,2.587,100.36,0.38
183,98.198,1.877,100.075,0.39
184,98.482,1.267,99.749,0.4
185,99.396,0.925,100.321,0.41
186,99.408,0.613,100.021,0.42
187,99.66,0.417,100.077,0.43
188,99.725,0.281,100.006,0.44
189,100.119,0.204,100.323,0.45
190,100.413,0.157,100.57,0.46
191,100.68,0.068,100.748,0.47
192,100.424,0.047,100.471,0.48
193,100.481,0.064,100.545,0.49
194,100.029,0.011,100.04,0.5
195,100.367,0.024,100.391,0.51
196,100.036,0,100.036,0.52
197,100.593,0,100.593,0.53
198,100.429,0.026,100.455,0.54
199,100.358,0,100.358,0.55
200,100.666,0,100.666,0.56
201,100.953,0,100.953,0.57
202,100.846,0,100.846,0.58
203,100.728,0.002,100.73,0.59
204,100.763,0,100.763,0.6
205,100.501,0.01,100.511,0.61
206,100.309,0.013,100.322,0.62
207,100.479,0,100.479,0.63
208,100.103,0.001,100.104,0.64
209,100.322,0,100.322,0.65
