Name,Abbreviation,POP1990,POP2000,POP2010,Pop_Density_1990,Pop_Density_2000,Pop_Density_2010,Pop_Dens_change_90_00,Pop_Dens_change_00_10,Pop_Dens_change_90_10,Latitude,Longitude,Area_square_miles
Orange,ORAN,307647,341367,372813,367.231,407.482,445.018,40.251,37.536,77.787,41.4021,-78.219886,837.748
Rockland,ROCK,265475,286753,311687,1332.019,1438.782,1563.888,106.762,125.106,231.868,41.1524,-76.069969,199.303
Bronx,BRON,1203789,1332650,1385108,20946.136,23188.340,24101.118,2242.204,912.778,3154.982,40.8491,-77.104064,57.471
Queens,QUEE,1951598,2229379,2230722,10904.320,12456.388,12463.892,1552.068,7.504,1559.572,40.6566,-75.609596,178.975
Kings,KING,2300664,2465326,2504700,23682.848,25377.866,25783.178,1695.017,405.313,2100.330,40.6342,-76.475463,97.145
New York,NEWY,1487536,1537195,1585873,44073.708,45545.038,46987.302,1471.330,1442.264,2913.594,40.7739,-77.381637,33.751
Richmond,RICH,378977,443728,468730,3704.495,4337.436,4581.830,632.940,244.394,877.334,40.5622,-79.365119,102.302
Westchester,WEST,874866,923459,949113,1749.848,1847.040,1898.351,97.192,51.311,148.504,41.1517,-76.872291,499.967
Nassau,NASS,1287348,1334544,1339532,2882.322,2987.992,2999.160,105.670,11.168,116.838,40.7353,-78.675437,446.636
Suffolk,SUFF,1321864,1419369,1493350,557.132,598.227,629.408,41.096,31.181,72.277,40.9431,-78.023727,2372.625
Herkimer,HERK,65797,64427,64519,45.192,44.251,44.314,-0.941,0.063,-0.878,43.4194,-75.819427,1455.952
Oneida,ONEI,250836,235469,234878,199.573,187.346,186.876,-12.226,-0.470,-12.697,43.2418,-76.305091,1256.864
Madison,MADI,69120,69441,73442,104.604,105.090,111.145,0.486,6.055,6.541,42.9128,-76.760192,660.778
