NAME,MUNI_TYPE,POP_1990,POP_2000,POP_2010,Pop_Density_1990,Pop_Density_2000,Pop_Density_2010,Pop_Dens_change_90-00,Pop_Dens_change_00-10,Pop_Dens_change_90-10,Area_square_miles,Longitude,Latitude
Keene,town,908,1063,1105,5.820,6.813,7.082,0.993,0.269,1.263,156.022,-73.811976,44.180403
Kendall,town,2769,2838,2724,84.106,86.202,82.739,2.096,-3.463,-1.367,32.923,-78.054593,43.33119
Kent,town,13183,14009,13507,308.683,328.024,316.270,19.341,-11.754,7.587,42.707,-73.731051,41.473484
Kiantone,town,1322,1385,1350,71.484,74.891,72.998,3.407,-1.893,1.514,18.494,-79.199727,42.034169
Kinderhook,town,8112,8296,8498,250.000,255.671,261.896,5.671,6.225,11.896,32.448,-73.682253,42.411442
Kingsbury,town,11851,11171,12671,296.167,279.173,316.659,-16.994,37.486,20.492,40.015,-73.539539,43.344045
Kingston,city,23095,23456,23893,2626.683,2667.741,2717.442,41.058,49.702,90.760,8.792,-73.996461,41.929708
Kingston,town,864,908,889,117.286,123.259,120.679,5.973,-2.579,3.394,7.367,-74.047358,41.98529
Kirkland,town,10153,10138,10315,301.155,300.710,305.960,-0.445,5.250,4.805,33.714,-75.386489,43.036861
Kirkwood,town,6096,5651,5857,195.263,181.009,187.608,-14.254,6.598,-7.655,31.219,-75.803161,42.088909
Knox,town,2661,2647,2692,63.466,63.132,64.205,-0.334,1.073,0.739,41.928,-74.110617,42.682206
Kortright,town,1410,1633,1675,22.556,26.123,26.795,3.567,0.672,4.239,62.512,-74.782501,42.391447
La Fayette,town,5105,4833,4952,115.078,108.946,111.629,-6.131,2.683,-3.449,44.361,-76.108637,42.908034
La Grange,town,13274,14928,15730,329.508,370.566,390.475,41.058,19.909,60.967,40.284,-73.802747,41.67869
Lackawanna,city,20585,19064,18141,3124.451,2893.589,2753.494,-230.862,-140.096,-370.957,6.588,-78.832394,42.818314
Lake George,town,3211,3578,3515,94.670,105.491,103.633,10.820,-1.857,8.963,33.918,-73.721993,43.439007
Lake Luzerne,town,2816,3219,3347,52.164,59.629,62.000,7.465,2.371,9.836,53.984,-73.802727,43.326299
Lake Pleasant,town,887,876,781,4.487,4.431,3.951,-0.056,-0.481,-0.536,197.691,-74.426425,43.569027
Lancaster,town,32181,39019,41604,847.048,1027.033,1095.074,179.985,68.041,248.026,37.992,-78.63781,42.909928
Lansing,town,9296,10521,11033,132.898,150.411,157.731,17.513,7.320,24.833,69.948,-76.531568,42.566698
Lapeer,town,613,686,767,24.441,27.351,30.581,2.911,3.229,6.140,25.081,-76.109236,42.446675
Laurens,town,2349,2402,2424,54.720,55.955,56.468,1.235,0.512,1.747,42.927,-75.117132,42.53734
Lawrence,town,1516,1545,1826,31.843,32.452,38.355,0.609,5.902,6.511,47.608,-74.676742,44.758645
Le Ray,town,17973,19836,21782,242.847,268.020,294.314,25.172,26.294,51.466,74.009,-75.797747,44.077158
Le Roy,town,8176,7790,7641,194.043,184.882,181.345,-9.161,-3.536,-12.697,42.135,-77.972153,42.993683
Lebanon,town,1265,1329,1332,28.937,30.401,30.469,1.464,0.069,1.533,43.716,-75.621747,42.784254
Ledyard,town,1737,1832,1886,35.723,37.677,38.787,1.954,1.111,3.064,48.624,-76.677409,42.747016
Lee,town,7115,6875,6486,156.353,151.079,142.530,-5.274,-8.548,-13.822,45.506,-75.517532,43.325687
Leicester,town,2223,2287,2200,66.404,68.315,65.717,1.912,-2.599,-0.687,33.477,-77.908861,42.762568
Lenox,town,8621,8665,9122,237.983,239.197,251.813,1.215,12.615,13.830,36.225,-75.758209,43.111299
Leon,town,1245,1380,1365,34.456,38.192,37.777,3.736,-0.415,3.321,36.133,-79.00205,42.304024
